영문항공사명,korAirline,carrierCode,항공사코드2(ICAO),항공사상태,사업모델,국가,지역
Happy Air,해피 에어,n/a,HPY,Ceased Operations,Regional/Commuter,Thailand,아시아태평양
Happy Airways,해피 에어웨이즈,n/a,n/a,Startup,Full Service Carrier,France,유럽
Harbour Air,하버 에어,H3,n/a,Active,Regional/Commuter,Canada,북미캐나다
Hawaiian Airlines,하와이안 항공,HA,HAL,Active,Full Service Carrier,United States of America,북미캐나다
Hawkair Aviation,호크에어 항공,BH,BHA,Ceased Operations,Regional/Commuter,Canada,북미캐나다
Hayways,헤이웨이즈항공,n/a,HYY,Startup,Full Service Carrier,Armenia,유럽
Heavylift International,헤비리프트 인터내셔널,n/a,n/a,Ceased Operations,Cargo,United Arab Emirates,중동아프리카
Hebei Airlines,허베이 항공,NS,HBH,Active,Regional/Commuter,China,아시아태평양
Hefei Airlines,허페이 항공,n/a,n/a,Failed startup,Low Cost Carrier,China,아시아태평양
Heilongjiang Airlines,헤이룽장 항공,n/a,n/a,Failed startup,Low Cost Carrier,China,아시아태평양
Heli Malongo Airways,헬리 말롱고 항공,n/a,n/a,Active,Charter,Angola,중동아프리카
Helicargo SA,헬리카고 SA,n/a,n/a,Active,Cargo,Colombia,중남미
Helijet International,헬리제트 인터내셔널,JB,JBA,Active,Charter,Canada,북미캐나다
Helitt Lineas Aereas,헬릿 항공,H9,HTH,Ceased Operations,Regional/Commuter,Spain,유럽
Hellenic Imperial Airways,헬레닉 임페리얼 항공,HT,IMP,Ceased Operations,Full Service Carrier,Greece,유럽
Hello,헬로우 항공,HW,FHE,Ceased Operations,Charter,Switzerland,유럽
Hello Airlines,헬로우 항공,H3,n/a,Active,Cargo,Bangladesh,아시아태평양
HelloFly,헬로플라이,n/a,n/a,Active,Virtual Carrier,Italy,유럽
Helvetic Airways,헬베틱 항공,2L,OAW,Active,Full Service Carrier,Switzerland,유럽
Hemus Air,헤무스 에어,DU,HMS,Ceased Operations,Regional/Commuter,Bulgaria,유럽
Henan Airlines,허난 항공,VD,KPA,Ceased Operations,Full Service Carrier,China,아시아태평양
Henan Cargo Airlines,허난 화물항공,n/a,n/a,Failed startup,Cargo,China,아시아태평양
Heringer Taxi Aereo,헤링거 항공택시,n/a,n/a,Active,Charter,Brazil,중남미
Hermes Airlines,에르메스 항공,n/a,n/a,Ceased Operations,Charter,Greece,유럽
Heston Airlines,헤스톤 항공,HN,HST,Active,Charter,Lithuania,유럽
Hevilift,헤빌리프트,n/a,n/a,Active,Charter,Papua New Guinea,아시아태평양
Hex'Air,헥스 에어,UD,HER,Ceased Operations,Regional/Commuter,France,유럽
Hi Air,하이 에어,4H,HGG,Grounded,Regional/Commuter,South Korea,아시아태평양
Hi Fly,하이 플라이,5K,HFY,Active,Charter,Portugal,유럽
Hi Fly Malta,하이 플라이 몰타,3L,HFM,Active,Charter,Malta,유럽
Hibernian Airlines,하이버니언 항공,HG,HBN,Active,Charter,Ireland,유럽
Himalaya Airlines,히말라야 항공,H9,HIM,Active,Full Service Carrier,Nepal,아시아태평양
Hinterland Aviation,힌터렌드 항공,OI,HND,Active,Regional/Commuter,Australia,아시아태평양
HiSky Moldova,하이스카이 몰도바,H7,HYM,Active,Low Cost Carrier,Moldova,유럽
HiSky Romania,하이스카이 루마니아,H4,HYS,Active,Low Cost Carrier,Romania,유럽
Hispania Airways,히스파니아 항공,n/a,n/a,Ceased Operations,Full Service Carrier,Spain,유럽
HK Express,홍콩 익스프레스,UO,HKE,Active,Low Cost Carrier,Hong Kong,아시아태평양
Hoga Kusten Flyg,호가 쿠스텐 플라이그,n/a,n/a,Ceased Operations,Virtual Carrier,Sweden,유럽
Hokkaido Air System,홋카이도 에어 시스템,n/a,NTH,Active,Regional/Commuter,Japan,아시아태평양
Holiday Airlines,홀리데이 항공,HD,HOL,Active,Charter,United States of America,북미캐나다
Holiday Europe,홀리데이 유럽,5Q,HES,Active,Charter,Bulgaria,유럽
Hong Kong Air Cargo,홍콩 화물항공,RH,HKC,Active,Cargo,Hong Kong,아시아태평양
Hong Kong Airlines,홍콩 항공,HX,CRK,Active,Full Service Carrier,Hong Kong,아시아태평양
HOP!,HOP! 항공,A5,HOP,Active,Full Service Carrier,France,유럽
HOP! Airlinair,HOP! 에어라인에어,n/a,n/a,Ceased Operations,Regional/Commuter,France,유럽
HOP! Brit Air,HOP! 브릿 에어,DB,BZH,Ceased Operations,Regional/Commuter,France,유럽
HOP! Regional,HOP! 지역,YS,HOP,Ceased Operations,Regional/Commuter,France,유럽
Horizon Air,호라이즌 항공,QX,QXE,Active,Regional/Commuter,United States of America,북미캐나다
Hubei Airlines,후베이 항공,n/a,n/a,Failed startup,Full Service Carrier,China,아시아태평양
Hummingbird Air,허밍버드 항공,n/a,HPP,Ceased Operations,Regional/Commuter,Virgin Islands US,북미캐나다
Humo Air,휴모 항공,HJ,USW,Active,Low Cost Carrier,Uzbekistan,아시아태평양
Hunnu Air,훈누 항공,MR,MML,Active,Full Service Carrier,Mongolia,아시아태평양
iAero Airways,아이에어로항공,Q7,SWQ,Active,Charter,United States of America,북미캐나다
IBC Airways,IBC 항공,II,CSQ,Active,Cargo,United States of America,북미캐나다
Iberia,이베리아 항공,IB,IBE,Active,Full Service Carrier,Spain,유럽
Iberia Express,이베리아 익스프레스,I2,IBS,Active,Low Cost Carrier,Spain,유럽
Iberia Regional Air Nostrum,이베리아 지역 항공 노스트룸,YW,ANE,Active,Regional/Commuter,Spain,유럽
Iberojet,이베로젯,E9,EVE,Active,Charter,Spain,유럽
IBEX Airlines,아이벡스 항공,FW,IBX,Active,Regional/Commuter,Japan,아시아태평양
Ibom Air,이봄에어,QI,IAN,Active,Full Service Carrier,Nigeria,중동아프리카
Icar Air,이카르 항공,n/a,RAC,Active,Charter,Bosnia and Herzegovina,유럽
Iceland Express,아이슬란드 익스프레스,HC,n/a,Ceased Operations,Low Cost Carrier,Iceland,유럽
Icelandair,아이슬란드 항공,FI,ICE,Active,Full Service Carrier,Iceland,유럽
Icelandair Cargo,아이슬란드 항공 카고,n/a,n/a,Active,Cargo,Iceland,유럽
I-Fly,아이플라이,F7,RSY,Active,Charter,Russian Federation,유럽
I-Fly Air,아이플라이 에어,n/a,IFY,Active,Regional/Commuter,Kenya,중동아프리카
iJet Charters,아이젯 차터스,n/a,n/a,Active,Charter,United States of America,북미캐나다
Ikar,이카르 항공,EO,KAR,Active,Charter,Russian Federation,유럽
Iliamna Air Taxi,일리암나 에어택시,V8,IAR,Active,Regional/Commuter,United States of America,북미캐나다
IMAIR Airline,아이에어 항공,IK,ITX,Ceased Operations,Charter,Azerbaijan,유럽
IMD Airways,아이엠디 항공,n/a,IMD,Active,Charter,Spain,유럽
Imperial Air Cargo,임페리얼 화물항공,n/a,n/a,Active,Cargo,South Africa,중동아프리카
IndiaOne Air,인디아원 에어,I7,IOA,Active,Regional/Commuter,India,아시아태평양
IndiGo,인디고 항공,6E,IGO,Active,Low Cost Carrier,India,아시아태평양
Indonesia Air Transport,인도네시아 항공운송,n/a,IDA,Active,Charter,Indonesia,아시아태평양
Indonesia AirAsia,인도네시아 에어아시아,QZ,AWQ,Active,Low Cost Carrier,Indonesia,아시아태평양
Indonesia AirAsia X,인도네시아 에어아시아 X,XT,IDX,Ceased Operations,Charter,Indonesia,아시아태평양
Innu Mikun Airlines,인누미쿤항공,n/a,n/a,Ceased Operations,Charter,Canada,북미캐나다
InselAir,인젤 에어 ,7I,INC,Ceased Operations,Full Service Carrier,Curacao,중남미
InselAir Aruba,인젤 에어  아루바,8I,NLU,Ceased Operations,Full Service Carrier,Aruba,중남미
Instantair,인스턴트 항공,n/a,n/a,Failed startup,Charter,Netherlands,유럽
Int'Air Iles,인터라이스 에어,n/a,IIA,Active,Regional/Commuter,Comoros,중동아프리카
Integra Air,인테그라 항공,n/a,n/a,Active,Charter,Canada,북미캐나다
Inter Island Airways,인터 아일랜드 항공,n/a,n/a,Active,Regional/Commuter,Fiji,아시아태평양
Inter Island Airways American Samoa,인터 아일랜드 사모아 항공,n/a,n/a,Active,Regional/Commuter,American Samoa,아시아태평양
Interair South Africa,남아프리카인터 항공,D6,ILN,Ceased Operations,Regional/Commuter,South Africa,중동아프리카
interCaribbean Airways,인터 케르비안 항공,JY,IWY,Active,Regional/Commuter,Turks and Caicos Islands,중남미
InterIsland Airlines,인터아일랜드 항공,n/a,n/a,Active,Charter,Philippines,아시아태평양
Interjet,인터제트,4O,AIJ,Ceased Operations,Low Cost Carrier,Mexico,중남미
International AirLink,인터내셔널 에어링크,n/a,n/a,Active,Regional/Commuter,Jamaica,중남미
International Business Air,인터네셔널 비즈니스에어,6I,IBZ,Ceased Operations,Charter,Sweden,유럽
International Cargo Airline,인터네셔널 카고 항공,n/a,n/a,Active,Cargo,France,유럽
International Trans Air Business,인터내셔널 트랜스 에어 비즈니스,n/a,n/a,Active,Charter,Democratic Republic of the Congo,중동아프리카
InterSky,인터스카이,3L,ISK,Ceased Operations,Low Cost Carrier,Austria,유럽
Intira Airlines,인티라 항공,n/a,n/a,Active,Charter,Thailand,아시아태평양
IPP Air Cargo,IPP 항공 화물,n/a,n/a,Failed startup,Cargo,Vietnam,아시아태평양
IrAero,이르에어로,IO,IAE,Active,Full Service Carrier,Russian Federation,유럽
Iran Air,이란 항공,IR,IRA,Active,Full Service Carrier,Iran,중동아프리카
Iran Air Tour ,이란 에어 투어,B9,IRB,Active,Full Service Carrier,Iran,중동아프리카
Iran Aseman Airlines,이란 아세만항공,EP,IRC,Active,Regional/Commuter,Iran,중동아프리카
Iraq Gate,이라크 게이트,n/a,IGC,Active,Charter,Iraq,중동아프리카
Iraqi Airways,이라크 항공,IA,IAW,Active,Full Service Carrier,Iraq,중동아프리카
IrMa Air Service,이르마 항공서비스,n/a,n/a,Active,Cargo,Kazakhstan,아시아태평양
IRS Airlines,IRS 항공,n/a,LVB,Ceased Operations,Charter,Nigeria,중동아프리카
Irtysh Air,이르티슈 항공,n/a,n/a,Active,Regional/Commuter,Kazakhstan,아시아태평양
Island Air,아일랜드 항공,WP,MKU,Ceased Operations,Regional/Commuter,United States of America,북미캐나다
Island Air Express,아일랜드 에어 익스프레스,I4,FWA,Active,Regional/Commuter,United States of America,북미캐나다
Island Air Service,아일랜드 에어 서비스,2O,n/a,Active,Charter,United States of America,북미캐나다
Island Airlines,아일랜드 항공,IS,ISA,Ceased Operations,Regional/Commuter,United States of America,북미캐나다
Island Express Air,아일랜드 익스프레스 에어,n/a,IAX,Ceased Operations,Charter,Canada,북미캐나다
Island Transvoyager,아일랜드 트랜스보이저,n/a,n/a,Ceased Operations,Charter,Philippines,아시아태평양
Islands Nationair,아일랜드 네이션에어,n/a,n/a,Active,Charter,Papua New Guinea,아시아태평양
Islas Afortunadas Air,이슬라스 아포르투나다스 에어,n/a,n/a,Failed startup,Low Cost Carrier,Spain,유럽
Islas Airways,이슬라스 에어웨이,IF,ISW,Ceased Operations,Regional/Commuter,Spain,유럽
Isle-Fly,아일 플라이,n/a,n/a,Active,Virtual Carrier,Jersey,유럽
Isles Of Scilly Skybus,아일즈오브실리 스카이버스,n/a,IOS,Active,Regional/Commuter,United Kingdom,유럽
ITA Airways,ITA항공,AZ,ITY,Active,Full Service Carrier,Italy,유럽
ITA Transportes Aereos ,ITA 운송 항공,8I,IPM,Ceased Operations,Full Service Carrier,Brazil,중남미
Itali Airlines,이탈리아 항공,FS,ACL,Ceased Operations,Regional/Commuter,Italy,유럽
Italian Airways,이탈리아 항공,n/a,n/a,Failed startup,Charter,Italy,유럽
Italiatour Airlines,이탈리아 투어 항공,OI,IAZ,Ceased Operations,Charter,Italy,유럽
Itek Air,이텍 에어,GI,IKA,Ceased Operations,Full Service Carrier,Kyrgyzstan,아시아태평양
Ivoirienne de Transports Aeriens,코트디부아르 항공운송,n/a,IVN,Active,Charter,Cote d'Ivoire,중동아프리카
IWS Aviation,IWS 항공,n/a,n/a,Active,Charter,Sri Lanka,아시아태평양
IZair,이자에어,n/a,n/a,Ceased Operations,Low Cost Carrier,Turkiye,유럽
Izhavia,이자비아,I8,IZA,Active,Full Service Carrier,Russian Federation,유럽
Jade Cargo International,제이드 국제화물항공,JI,JAE,Ceased Operations,Cargo,China,아시아태평양
Jags Aviation,재그 항공,n/a,n/a,Active,Charter,Guyana,중남미
J-Air,제이-에어,n/a,n/a,Active,Regional/Commuter,Japan,아시아태평양
JALways,JAL 웨이즈,JO,JAZ,Ceased Operations,Full Service Carrier,Japan,아시아태평양
JAM AIR Express,잼 에어 익스프레스,n/a,n/a,Active,Full Service Carrier,Guatemala,중남미
Jamaica Air Shuttle,자메이카 에어 셔틀,J6,ARW,Ceased Operations,Regional/Commuter,Jamaica,중남미
Jambojet,잠보제트,JM,JMA,Active,Low Cost Carrier,Kenya,중동아프리카
Japan Air Commuter,일본 항공 커뮤터,JC,JAC,Active,Regional/Commuter,Japan,아시아태평양
Japan Airlines,일본 항공,JL,JAL,Active,Full Service Carrier,Japan,아시아태평양
Japan Transocean Air,저팬 트랜스오션 에어,NU,JTA,Active,Full Service Carrier,Japan,아시아태평양
Jasmin Airways,자스민 항공,JO,JAW,Active,Charter,Tunisia,중동아프리카
Jazeera Airways,자지라항공,J9,JZR,Active,Low Cost Carrier,Kuwait,중동아프리카
Jazz,재즈 항공,QK,JZA,Active,Regional/Commuter,Canada,북미캐나다
JC Cambodia International Airlines,JC 캄보디아 국제항공,QD,JCC,Ceased Operations,Full Service Carrier,Cambodia,아시아태평양
JedAir,제드에어,n/a,n/a,Active,Charter,Nigeria,중동아프리카
JEJU air,제주 항공,7C,JJA,Active,Low Cost Carrier,South Korea,아시아태평양
Jet 4 Now,제트 포 나워,n/a,n/a,Ceased Operations,Charter,South Africa,중동아프리카
JET AIR,제트 에어,n/a,JEA,Ceased Operations,Regional/Commuter,Poland,유럽
Jet Air Group,제트 에어 그룹,n/a,JSI,Active,Charter,Russian Federation,유럽
Jet Airlines,제트 항공,n/a,n/a,Active,Charter,Kazakhstan,아시아태평양
Jet Airways,제트 에어웨이,9W,JAI,Ceased Operations,Full Service Carrier,India,아시아태평양
Jet Asia Airways,제트 아시아 항공,JF,JAA,Ceased Operations,Charter,Thailand,아시아태평양
Jet Asia International,제트 아시아 인터내셔널,n/a,n/a,Active,Charter,Pakistan,아시아태평양
Jet Time,제트 타임,JO,JTG,Ceased Operations,Charter,Denmark,유럽
Jet Time Finland,제트 타임 필란드,n/a,JTF,Active,Charter,Finland,유럽
Jet2.com,제트투컴,LS,EXS,Active,Low Cost Carrier,United Kingdom,유럽
Jet4You,제트포유,8J,JFU,Ceased Operations,Low Cost Carrier,Morocco,중동아프리카
JetAir Caribbean,제트에어 캐리비안,4J,JRC,Active,Full Service Carrier,Curacao,중남미
JetBlue Airways,제트블루 항공,B6,JBU,Active,Low Cost Carrier,United States of America,북미캐나다
Jetconnect,제트컨넥트,n/a,QNZ,Active,Full Service Carrier,New Zealand,아시아태평양
JetFly,제트플라이,n/a,n/a,Active,Charter,Cameroon,중동아프리카
JetGo America,제트고 아메리카,n/a,n/a,Active,Charter,United States of America,북미캐나다
JETGO Australia,제트고 오스트레일리아,JG,JGO,Ceased Operations,Charter,Australia,아시아태평양
Jetisfaction,제트티팩션,n/a,n/a,Ceased Operations,Regional/Commuter,Germany,유럽
JetLink Express,제트링크 익스프레스,J0,JLX,Ceased Operations,Full Service Carrier,Kenya,중동아프리카
JetLite,제트라이트,S2,JLL,Ceased Operations,Full Service Carrier,India,아시아태평양
JetSMART Argentina,제트스마트 아르헨티나,WJ,JES,Active,Low Cost Carrier,Argentina,중남미
JetSMART Chile,제트스마트 칠레,JA,JAT,Active,Low Cost Carrier,Chile,중남미
JetSMART India,제트스마트 인도,n/a,n/a,Active,Charter,India,아시아태평양
JetSMART Peru,제트스마트 페루,JZ,JAP,Active,Low Cost Carrier,Peru,중남미
Jetstar Airways,제트스타 항공,JQ,JST,Active,Low Cost Carrier,Australia,아시아태평양
Jetstar Asia,제트스타 아시아,3K,JSA,Active,Low Cost Carrier,Singapore,아시아태평양
Jetstar Hong Kong,제트스타 홍콩,n/a,JKT,Failed startup,Low Cost Carrier,Hong Kong,아시아태평양
Jetstar Japan,제트스타 일본,GK,JJP,Active,Low Cost Carrier,Japan,아시아태평양
Jettime A/S,제트타임 A/S,n/a,JTD,Active,Charter,Denmark,유럽
Jetways Airlines,제트웨이즈 항공,n/a,JWX,Active,Full Service Carrier,Kenya,중동아프리카
jetWest Airways,제트웨스트 항공,n/a,n/a,Failed startup,Low Cost Carrier,Nigeria,중동아프리카
JetXtra.com,제트 엑스트라 항공,n/a,n/a,Active,Virtual Carrier,United Kingdom,유럽
Jiangsu Airlines,장쑤 항공,n/a,n/a,Failed startup,Full Service Carrier,China,아시아태평양
Jiangsu Jingdong Cargo Airlines,장쑤 징동 화물항공,JG,JDL,Active,Cargo,China,아시아태평양
Jiangxi Air,장시 항공,RY,CJX,Active,Low Cost Carrier,China,아시아태평양
Jiangxi International Cargo Airlines,장시 국제 화물항공,n/a,n/a,Active,Cargo,China,아시아태평양
Jin Air,진에어,LJ,JNA,Active,Low Cost Carrier,South Korea,아시아태평양
JOIN! Regional Airlines,JOIN! 지역 항공,n/a,n/a,Failed startup,Virtual Carrier,Netherlands,유럽
Jonair,조에어,n/a,n/a,Active,Regional/Commuter,Sweden,유럽
Jonika Airlines,조니카 항공,JO,JNK,Active,Full Service Carrier,Ukraine,유럽
Joon,준,JN,JON,Ceased Operations,Full Service Carrier,France,유럽
Jordan Aviation,요르단 항공,R5,JAV,Active,Charter,Jordan,중동아프리카
Jota Aviation,조타 항공,n/a,ENZ,Ceased Operations,Charter,United Kingdom,유럽
Joy Air,조이 에어,JR,JOY,Active,Regional/Commuter,China,아시아태평양
Joy Luzhou Airlines,조이 루저우 항공,n/a,n/a,Failed startup,Regional/Commuter,China,아시아태평양
JSX,JSX 항공,XE,JSX,Active,Charter,United States of America,북미캐나다
Jubba Airways,주바 항공,6J,JBW,Active,Full Service Carrier,Kenya,중동아프리카
Jubba Airways Somalia,주바 항공 소말리아,3J,JBW,Active,Full Service Carrier,Somalia,중동아프리카
Jump Air,점프 항공,n/a,JUP,Active,Charter,Lithuania,유럽
Juneyao Air,준야오 항공,HO,DKH,Active,Full Service Carrier,China,아시아태평양
Junkanoo Air,준카누 항공,n/a,JKN,Active,Cargo,Bahamas,중남미
Just Us Air,저스트 어스 항공,n/a,n/a,Ceased Operations,Charter,Romania,유럽
K2 Airways,K2 항공,n/a,n/a,Startup,Charter,Pakistan,아시아태평양
K2 SmartJets,K2 스마트제트,n/a,n/a,Active,Charter,Greece,유럽
Kabo Air,카보 에어,n/a,QNK,Active,Charter,Nigeria,중동아프리카
Kairali Airlines,카이랄리 항공,n/a,n/a,Startup,Regional/Commuter,India,아시아태평양
Kalahari Air Services & Charter,칼라하리 항공 서비스 및 차터,n/a,n/a,Active,Charter,Botswana,중동아프리카
Kalahari Airways,칼리하리 항공,n/a,n/a,Failed startup,Full Service Carrier,Botswana,중동아프리카
Kalitta Air,칼리타 에어,K4,CKS,Active,Cargo,United States of America,북미캐나다
Kalitta Charters,칼리타 차터,K9,KFS,Active,Charter,United States of America,북미캐나다
Kallat Elsaker Air,칼랏 엘사커 에어,n/a,n/a,Active,Charter,Libya,중동아프리카
Kalmarflyg,칼마르플리그,n/a,n/a,Ceased Operations,Regional/Commuter,Sweden,유럽
Kalstar Aviation,칼스타 항공,KD,KLS,Ceased Operations,Regional/Commuter,Indonesia,아시아태평양
Kam Air,캄 에어,RQ,KMF,Active,Full Service Carrier,Afghanistan,중동아프리카
Kamaka Air Inc,카마카항공,n/a,KMK,Active,Charter,United States of America,북미캐나다
Kamchatka Airlines,캄차카항공,n/a,n/a,Ceased Operations,Charter,Russian Federation,유럽
Kan Air,칸 에어,K8,KND,Ceased Operations,Regional/Commuter,Thailand,아시아태평양
Kangala Air Express,캉갈라 에어 익스프레스,n/a,n/a,Active,Regional/Commuter,Burkina Faso,중동아프리카
KAPO Avia,카포 아비아,n/a,n/a,Active,Cargo,Russian Federation,유럽
Karinou Airlines,카리노우 항공,n/a,KRN,Active,Regional/Commuter,Central African Republic,중동아프리카
Karpas Airlines,카르파스 항공,n/a,n/a,Failed startup,Full Service Carrier,Cyprus,유럽
Karun Airlines,카룬 항공,NV,KRU,Active,Charter,Iran,중동아프리카
KASAS,KASAS 항공,n/a,n/a,Active,Charter,Kenya,중동아프리카
Kata Transportation Company,카타 운송회사,n/a,KTV,Active,Cargo,Sudan,중동아프리카
Katekavia,카테카비아 ,n/a,n/a,Ceased Operations,Charter,Russian Federation,유럽
Kavminvodyavia,카브민보디아비아,KV,MVD,Ceased Operations,Full Service Carrier,Russian Federation,유럽
Kaya Airlines,카야 항공,n/a,KYY,Active,Charter,Mozambique,중동아프리카
Kazan Avia,카잔 아비아,n/a,n/a,Active,Charter,Russian Federation,유럽
KC International Airlines,KC 인터내셔널 항공,3Q,KCH,Ceased Operations,Full Service Carrier,Cambodia,아시아태평양
KD Air,케이디 항공,n/a,KDC,Active,Charter,Canada,북미캐나다
Keewatin Air,키와틴 에어,FK,KEW,Active,Regional/Commuter,Canada,북미캐나다
Kenmore Air,켄모어 에어,M5,KEN,Active,Regional/Commuter,United States of America,북미캐나다
Kenn Borek Air,켄보렉 에어,4K,KBA,Active,Regional/Commuter,Canada,북미캐나다
Kenya Airways,케냐 항공,KQ,KQA,Active,Full Service Carrier,Kenya,중동아프리카
Key Lime Air,키라임 에어,KG,LYM,Active,Charter,United States of America,북미캐나다
Keystone Air Service,키스톤 항공 서비스,n/a,n/a,Ceased Operations,Charter,Canada,북미캐나다
KF Cargo,KF 카고,FK,KFA,Active,Cargo,Canada,북미캐나다
Kharkiv Airlines,하르키우 항공,n/a,n/a,Ceased Operations,Charter,Ukraine,유럽
Khonkaen Airlines,콘캔 항공,n/a,n/a,Failed startup,Full Service Carrier,Thailand,아시아태평양
Khors Air,코르스 에어,n/a,n/a,Active,Charter,Ukraine,유럽
Khuphuka Kings Airways,쿠푸카킹즈 항공,n/a,n/a,Active,Cargo,South Africa,중동아프리카
K-Impex Airlines,케이임펙스 항공,n/a,n/a,Startup,Regional/Commuter,Nigeria,중동아프리카
Kin Avia,킨아비아 ,n/a,n/a,Active,Regional/Commuter,Democratic Republic of the Congo,중동아프리카
Kinda Airlines,킨다 항공,n/a,n/a,Failed startup,Full Service Carrier,Syria,중동아프리카
Kingfisher Airlines,킹피셔 항공,IT,KFR,Ceased Operations,Low Cost Carrier,India,아시아태평양
Kish Air,키시 항공,n/a,KIS,Active,Regional/Commuter,Iran,중동아프리카
Kite Air,카이트 에어,n/a,n/a,Startup,Full Service Carrier,Vietnam,아시아태평양
Kitty Hawk Air Cargo,키티 호크 에어카고,KR,KHA,Ceased Operations,Cargo,United States of America,북미캐나다
Kiwi Regional Airlines,키위 지역 항공,n/a,n/a,Ceased Operations,Charter,New Zealand,아시아태평양
KlasJet,클라스제트,n/a,KLJ,Active,Charter,Lithuania,유럽
KLM Cityhopper,KLM 시티호퍼,WA,KLC,Active,Regional/Commuter,Netherlands,유럽
KLM Royal Dutch Airlines,KLM 네덜란드 항공,KL,KLM,Active,Full Service Carrier,Netherlands,유럽
KM Malta Airlines,KM 몰타 항공,n/a,n/a,Startup,Full Service Carrier,Malta,유럽
K-Mile Asia,케이마일 아시아,8K,KMI,Active,Cargo,Thailand,아시아태평양
Knight Aviation,나이트 항공,n/a,n/a,Active,Cargo,Kenya,중동아프리카
Komiaviatrans,코미 아비아트랜스,KO,KMA,Active,Charter,Russian Federation,유럽
Koral Blue,코랄블루 항공,n/a,KBR,Ceased Operations,Charter,Egypt,중동아프리카
Korea Express Air,코리아 익스프레스 에어,n/a,KEA,Ceased Operations,Charter,South Korea,아시아태평양
Korean Air,대한 항공,KE,KAL,Active,Full Service Carrier,South Korea,아시아태평양
Korongo Airlines,코롱고 항공,ZC,KGO,Ceased Operations,Full Service Carrier,Democratic Republic of the Congo,중동아프리카
Kosmos Airlines,코스모스 항공,n/a,KSM,Active,Charter,Russian Federation,유럽
Kostroma Air Enterprise,코스트로마 에어 엔터프라이즈,n/a,KMW,Active,Charter,Russian Federation,유럽
KrasAir,크라스 항공,7B,KJC,Ceased Operations,Full Service Carrier,Russian Federation,유럽
KrasAvia,크라스아비아,KV,SSJ,Active,Regional/Commuter,Russian Federation,유럽
Kriber Airlines,크리버 항공,n/a,n/a,Failed startup,Cargo,Spain,유럽
Krohn Air,크론 항공,n/a,n/a,Ceased Operations,Virtual Carrier,Norway,유럽
Kuban Airlines,쿠반 항공,GW,KIL,Ceased Operations,Regional/Commuter,Russian Federation,유럽
Kullaflyg,쿨라플리그 앙공,n/a,n/a,Ceased Operations,Regional/Commuter,Sweden,유럽
kulula.com,쿨룰라 항공,MN,CAW,Ceased Operations,Low Cost Carrier,South Africa,중동아프리카
Kunming Airlines,쿤밍 항공,KY,KNA,Active,Full Service Carrier,China,아시아태평양
Kush Air,쿠쉬 에어,n/a,KUH,Active,Regional/Commuter,Sudan,중동아프리카
Kuva Air,쿠바 항공,n/a,n/a,Grounded,Regional/Commuter,Zimbabwe,중동아프리카
Kuwait Airways,쿠웨이트 항공,KU,KAC,Active,Full Service Carrier,Kuwait,중동아프리카
Kwacha Airlines,콰차 항공,n/a,n/a,Failed startup,Full Service Carrier,Malawi,중동아프리카
KyrgyzTrans Avia,키르기스스탄 트랜스 아비아,6K,KTC,Ceased Operations,Charter,Kyrgyzstan,아시아태평양
La Compagnie,라 콤페니,B0,DJT,Active,Full Service Carrier,France,유럽
La Costena,라 코스테나,n/a,n/a,Active,Charter,Nicaragua,중남미
La Nova,라노바 항공,n/a,n/a,Failed startup,Virtual Carrier,Switzerland,유럽
Lakeshore Express Aviation,레이크쇼어 익스프레스 항공,n/a,n/a,Ceased Operations,Regional/Commuter,United States of America,북미캐나다
LAM - Mozambique Airlines,람 모잠비크 항공,TM,LAM,Active,Full Service Carrier,Mozambique,중동아프리카
LaMia,라미아 항공,n/a,LMD,Failed startup,Charter,Venezuela,중남미
LaMia Bolivia,라미아 볼리비아 항공,n/a,n/a,Ceased Operations,Charter,Bolivia,중남미
Lankan Cargo,란칸 화물,n/a,n/a,Ceased Operations,Cargo,Sri Lanka,아시아태평양
Lanmei Airlines,란메이 항공,LQ,MKR,Active,Low Cost Carrier,Cambodia,아시아태평양
Lanzarote Aerocargo SL,란사로테 에어로카고 SL,n/a,n/a,Active,Cargo,Spain,유럽
Lao Airlines,라오스 항공,QV,LAO,Active,Full Service Carrier,Laos,아시아태평양
Lao Central Airlines,라오스중앙 항공,LF,LKA,Ceased Operations,Full Service Carrier,Laos,아시아태평양
Lao Skyway,라오스 스카이웨이,LK,LLL,Active,Regional/Commuter,Laos,아시아태평양
LASA Lineas Aereas,LASA 항공,4L,NQN,Ceased Operations,Full Service Carrier,Argentina,중남미
LASER,레이저,QL,LER,Active,Regional/Commuter,Venezuela,중남미
LATAM Airlines,라탐 항공,LA,LAN,Active,Full Service Carrier,Chile,중남미
LATAM Airlines Argentina,라탐 항공 아르젠티나,4M,DSM,Ceased Operations,Full Service Carrier,Argentina,중남미
LATAM Airlines Brasil,라탐 항공 브라질,JJ,TAM,Active,Full Service Carrier,Brazil,중남미
LATAM Airlines Chile,라탐 항공 칠레,LA,LAN,Active,Regional/Commuter,Chile,중남미
LATAM Airlines Colombia,라탐 항공 콜롬비아,4C,ARE,Active,Full Service Carrier,Colombia,중남미
LATAM Airlines Ecuador,라탐 항공 에콰도르,XL,LNE,Active,Full Service Carrier,Ecuador,중남미
LATAM Airlines Paraguay,라탐 항공 파라과이,PZ,LAP,Active,Full Service Carrier,Paraguay,중남미
